initial_sheep,initial_wolves,replication,steps_run,final_wolves,final_sheep,peak_wolves,peak_sheep,wolves_extinct,wolves_extinct_step,sheep_extinct,sheep_extinct_step,final_grass,peak_grass,grass_extinct,grass_extinct_step
75,15,0,100,3,0,40,75,False,,True,66.0,400,400,False,
75,20,2,100,1,10,48,75,False,,False,,288,358,False,
75,20,1,100,5,7,35,75,False,,False,,298,367,False,
75,15,2,100,3,2,43,75,False,,False,,359,371,False,
75,20,0,100,9,11,40,75,False,,False,,268,281,False,
75,15,4,100,11,5,42,75,False,,False,,313,324,False,
75,20,4,98,0,0,41,75,True,98.0,True,82.0,395,395,False,
75,25,0,100,3,0,64,75,False,,True,58.0,400,400,False,
75,15,3,100,5,22,36,75,False,,False,,193,275,False,
75,20,3,100,2,11,50,75,False,,False,,288,354,False,
75,25,1,100,0,29,53,75,True,89.0,False,,103,379,False,
75,25,2,100,4,7,57,75,False,,False,,290,314,False,
75,25,4,100,0,2,59,75,True,77.0,False,,372,380,False,
75,25,3,100,1,0,52,75,False,,True,33.0,400,400,False,
100,5,0,100,23,21,31,101,False,,False,,141,188,False,
100,5,1,100,14,35,19,103,False,,False,,78,205,False,
100,5,3,100,15,14,22,105,False,,False,,171,220,False,
100,5,4,100,10,16,33,100,False,,False,,173,252,False,
